,Public spending,Private spending,Out-of-pocket spending
NZ,"3,108",309,                                506
UK,"3,107",207,                                629
AUS,"3,132",597,                               837
FRA,"4,111",357,                                463
CAN,"3,466",759,                                749
NETH,"4,343",376,                                570
SWE,"4,569",71,                                807
GER,"5,056",192,                                738
NOR,"5,289",21,                               877
SWIZ,"4,545",533,"                            2,069"
US*,"4,993","4,092","                                  1,122"
